id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,False,False
2,0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,False,False
3,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,False,False
4,0.0,0.0,0.0,0.0,2.0,2.666666667,0.05,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,False,False
5,0.0,0.0,0.0,0.0,10.0,627.5,0.02,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,True,False
6,0.0,0.0,0.0,0.0,19.0,154.2166667,0.015789473999999998,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
7,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,False,False
8,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,True,False
9,0.0,0.0,0.0,0.0,2.0,37.0,0.0,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,False,False
10,0.0,0.0,0.0,0.0,3.0,738.0,0.0,0.022222222000000003,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,False,False
11,0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,False
12,0.0,0.0,0.0,0.0,16.0,407.75,0.01875,0.025833332999999997,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,False,False
13,0.0,0.0,0.0,0.0,7.0,280.5,0.0,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,False,False
14,0.0,0.0,0.0,0.0,6.0,98.0,0.0,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,False,False
15,0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.1,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,False,False
16,2.0,53.0,0.0,0.0,23.0,1668.285119,0.008333333,0.016312636000000002,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
17,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,False,False
18,0.0,0.0,0.0,0.0,13.0,334.96666669999996,0.0,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,True,False
19,0.0,0.0,0.0,0.0,2.0,32.0,0.0,0.1,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,False,False
20,0.0,0.0,0.0,0.0,20.0,2981.166667,0.0,0.01,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,False,False
21,0.0,0.0,0.0,0.0,8.0,136.16666669999998,0.0,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,True,False
22,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.2,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,False,False
23,0.0,0.0,0.0,0.0,3.0,105.0,0.0,0.033333333,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,False,False
24,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.1,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,False,False
